school_id,school_name,use_case
sch_00001,Digital Education School,b2c_course_sellers
sch_00002,Smart Skills School,government_ngos
sch_00003,Future Training School,government_ngos
sch_00004,Modern Talent School,b2c_course_sellers
sch_00005,Advanced Growth School,corporate_training
sch_00006,Premier Academy School,b2b_course_sellers
sch_00007,Elite Institute School,customer_training
sch_00008,Dynamic Solutions School,corporate_training
sch_00009,Agile Ventures School,government_ngos
sch_00010,Innovative Pathways School,b2b_course_sellers
sch_00011,Bright Labs School,corporate_training
sch_00012,Apex Learning School,b2c_course_sellers
sch_00013,Nexus Education School,b2c_course_sellers
sch_00014,Lumina Skills School,customer_training
sch_00015,Global Training School,customer_training
sch_00016,Digital Talent School,customer_training
sch_00017,Smart Growth School,customer_training
sch_00018,Future Academy School,customer_training
sch_00019,Modern Institute School,government_ngos
sch_00020,Advanced Solutions School,b2c_course_sellers
sch_00021,Premier Ventures School,b2c_course_sellers
sch_00022,Elite Pathways School,b2b_course_sellers
sch_00023,Dynamic Labs School,customer_training
sch_00024,Agile Learning School,b2b_course_sellers
sch_00025,Innovative Education School,customer_training
sch_00026,Bright Skills School,customer_training
sch_00027,Apex Training School,customer_training
sch_00028,Nexus Talent School,customer_training
sch_00029,Lumina Growth School,government_ngos
sch_00030,Global Academy School,b2c_course_sellers
sch_00031,Digital Institute School,corporate_training
sch_00032,Smart Solutions School,b2c_course_sellers
sch_00033,Future Ventures School,government_ngos
sch_00034,Modern Pathways School,b2c_course_sellers
sch_00035,Advanced Labs School,government_ngos
sch_00036,Premier Learning School,b2b_course_sellers
sch_00037,Elite Education School,b2b_course_sellers
sch_00038,Dynamic Skills School,customer_training
sch_00039,Agile Training School,government_ngos
sch_00040,Innovative Talent School,corporate_training
sch_00041,Bright Growth School,b2b_course_sellers
sch_00042,Apex Academy School,corporate_training
sch_00043,Nexus Institute School,corporate_training
sch_00044,Lumina Solutions School,b2c_course_sellers
sch_00045,Global Ventures School,customer_training
sch_00046,Digital Pathways School,government_ngos
sch_00047,Smart Labs School,b2b_course_sellers
sch_00048,Future Learning School,corporate_training
sch_00049,Modern Education School,corporate_training
sch_00050,Advanced Skills School,corporate_training
sch_00051,Premier Training School,corporate_training
sch_00052,Elite Talent School,government_ngos
sch_00053,Dynamic Growth School,corporate_training
sch_00054,Agile Academy School,government_ngos
sch_00055,Innovative Institute School,b2c_course_sellers
sch_00056,Bright Solutions School,government_ngos
sch_00057,Apex Ventures School,government_ngos
sch_00058,Nexus Pathways School,customer_training
sch_00059,Lumina Labs School,customer_training
sch_00060,Global Learning School,government_ngos
sch_00061,Digital Education School,b2c_course_sellers
sch_00062,Smart Skills School,b2c_course_sellers
sch_00063,Future Training School,customer_training
sch_00064,Modern Talent School,government_ngos
sch_00065,Advanced Growth School,b2b_course_sellers
sch_00066,Premier Academy School,customer_training
sch_00067,Elite Institute School,customer_training
sch_00068,Dynamic Solutions School,corporate_training
sch_00069,Agile Ventures School,customer_training
sch_00070,Innovative Pathways School,b2b_course_sellers
sch_00071,Bright Labs School,b2b_course_sellers
sch_00072,Apex Learning School,b2c_course_sellers
sch_00073,Nexus Education School,b2c_course_sellers
sch_00074,Lumina Skills School,corporate_training
sch_00075,Global Training School,b2c_course_sellers
sch_00076,Digital Talent School,b2c_course_sellers
sch_00077,Smart Growth School,b2b_course_sellers
sch_00078,Future Academy School,customer_training
sch_00079,Modern Institute School,b2c_course_sellers
sch_00080,Advanced Solutions School,customer_training
sch_00081,Premier Ventures School,b2b_course_sellers
sch_00082,Elite Pathways School,customer_training
sch_00083,Dynamic Labs School,customer_training
sch_00084,Agile Learning School,government_ngos
sch_00085,Innovative Education School,government_ngos
sch_00086,Bright Skills School,corporate_training
sch_00087,Apex Training School,customer_training
sch_00088,Nexus Talent School,customer_training
sch_00089,Lumina Growth School,b2c_course_sellers
sch_00090,Global Academy School,b2c_course_sellers
sch_00091,Digital Institute School,customer_training
sch_00092,Smart Solutions School,customer_training
sch_00093,Future Ventures School,corporate_training
sch_00094,Modern Pathways School,b2b_course_sellers
sch_00095,Advanced Labs School,b2b_course_sellers
sch_00096,Premier Learning School,b2c_course_sellers
sch_00097,Elite Education School,b2b_course_sellers
sch_00098,Dynamic Skills School,corporate_training
sch_00099,Agile Training School,corporate_training
sch_00100,Innovative Talent School,b2b_course_sellers
sch_00101,Bright Growth School,b2c_course_sellers
sch_00102,Apex Academy School,customer_training
sch_00103,Nexus Institute School,government_ngos
sch_00104,Lumina Solutions School,corporate_training
sch_00105,Global Ventures School,corporate_training
sch_00106,Digital Pathways School,customer_training
sch_00107,Smart Labs School,b2c_course_sellers
sch_00108,Future Learning School,b2c_course_sellers
sch_00109,Modern Education School,corporate_training
sch_00110,Advanced Skills School,b2b_course_sellers
sch_00111,Premier Training School,b2b_course_sellers
sch_00112,Elite Talent School,government_ngos
sch_00113,Dynamic Growth School,corporate_training
sch_00114,Agile Academy School,customer_training
sch_00115,Innovative Institute School,b2c_course_sellers
sch_00116,Bright Solutions School,government_ngos
sch_00117,Apex Ventures School,corporate_training
sch_00118,Nexus Pathways School,corporate_training
sch_00119,Lumina Labs School,corporate_training
sch_00120,Global Learning School,government_ngos
sch_00121,Digital Education School,b2b_course_sellers
sch_00122,Smart Skills School,b2c_course_sellers
sch_00123,Future Training School,corporate_training
sch_00124,Modern Talent School,customer_training
sch_00125,Advanced Growth School,b2b_course_sellers
sch_00126,Premier Academy School,government_ngos
sch_00127,Elite Institute School,b2c_course_sellers
sch_00128,Dynamic Solutions School,customer_training
sch_00129,Agile Ventures School,b2b_course_sellers
sch_00130,Innovative Pathways School,government_ngos
sch_00131,Bright Labs School,b2b_course_sellers
sch_00132,Apex Learning School,b2c_course_sellers
sch_00133,Nexus Education School,government_ngos
sch_00134,Lumina Skills School,customer_training
sch_00135,Global Training School,corporate_training
sch_00136,Digital Talent School,corporate_training
sch_00137,Smart Growth School,corporate_training
sch_00138,Future Academy School,government_ngos
sch_00139,Modern Institute School,b2c_course_sellers
sch_00140,Advanced Solutions School,b2c_course_sellers
sch_00141,Premier Ventures School,b2b_course_sellers
sch_00142,Elite Pathways School,b2c_course_sellers
sch_00143,Dynamic Labs School,government_ngos
sch_00144,Agile Learning School,b2c_course_sellers
sch_00145,Innovative Education School,b2c_course_sellers
sch_00146,Bright Skills School,b2b_course_sellers
sch_00147,Apex Training School,b2c_course_sellers
sch_00148,Nexus Talent School,b2b_course_sellers
sch_00149,Lumina Growth School,b2b_course_sellers
sch_00150,Global Academy School,b2b_course_sellers
sch_00151,Digital Institute School,b2c_course_sellers
sch_00152,Smart Solutions School,b2c_course_sellers
sch_00153,Future Ventures School,b2b_course_sellers
sch_00154,Modern Pathways School,b2b_course_sellers
sch_00155,Advanced Labs School,b2b_course_sellers
sch_00156,Premier Learning School,b2b_course_sellers
sch_00157,Elite Education School,corporate_training
sch_00158,Dynamic Skills School,government_ngos
sch_00159,Agile Training School,corporate_training
sch_00160,Innovative Talent School,corporate_training
sch_00161,Bright Growth School,b2b_course_sellers
sch_00162,Apex Academy School,customer_training
sch_00163,Nexus Institute School,corporate_training
sch_00164,Lumina Solutions School,b2c_course_sellers
sch_00165,Global Ventures School,customer_training
sch_00166,Digital Pathways School,corporate_training
sch_00167,Smart Labs School,corporate_training
sch_00168,Future Learning School,b2c_course_sellers
sch_00169,Modern Education School,government_ngos
sch_00170,Advanced Skills School,b2b_course_sellers
sch_00171,Premier Training School,b2b_course_sellers
sch_00172,Elite Talent School,b2c_course_sellers
sch_00173,Dynamic Growth School,b2c_course_sellers
sch_00174,Agile Academy School,b2b_course_sellers
sch_00175,Innovative Institute School,government_ngos
sch_00176,Bright Solutions School,customer_training
sch_00177,Apex Ventures School,corporate_training
sch_00178,Nexus Pathways School,customer_training
sch_00179,Lumina Labs School,b2c_course_sellers
sch_00180,Global Learning School,corporate_training
sch_00181,Digital Education School,customer_training
sch_00182,Smart Skills School,b2c_course_sellers
sch_00183,Future Training School,customer_training
sch_00184,Modern Talent School,b2b_course_sellers
sch_00185,Advanced Growth School,corporate_training
sch_00186,Premier Academy School,corporate_training
sch_00187,Elite Institute School,corporate_training
sch_00188,Dynamic Solutions School,government_ngos
sch_00189,Agile Ventures School,b2b_course_sellers
sch_00190,Innovative Pathways School,customer_training
sch_00191,Bright Labs School,b2b_course_sellers
sch_00192,Apex Learning School,corporate_training
sch_00193,Nexus Education School,b2c_course_sellers
sch_00194,Lumina Skills School,customer_training
sch_00195,Global Training School,b2b_course_sellers
sch_00196,Digital Talent School,b2b_course_sellers
sch_00197,Smart Growth School,b2b_course_sellers
sch_00198,Future Academy School,government_ngos
sch_00199,Modern Institute School,government_ngos
sch_00200,Advanced Solutions School,corporate_training
sch_00201,Premier Ventures School,corporate_training
sch_00202,Elite Pathways School,b2b_course_sellers
sch_00203,Dynamic Labs School,corporate_training
sch_00204,Agile Learning School,customer_training
sch_00205,Innovative Education School,b2b_course_sellers
sch_00206,Bright Skills School,customer_training
sch_00207,Apex Training School,government_ngos
sch_00208,Nexus Talent School,corporate_training
sch_00209,Lumina Growth School,customer_training
sch_00210,Global Academy School,corporate_training
sch_00211,Digital Institute School,b2b_course_sellers
sch_00212,Smart Solutions School,government_ngos
sch_00213,Future Ventures School,customer_training
sch_00214,Modern Pathways School,b2b_course_sellers
sch_00215,Advanced Labs School,b2b_course_sellers
sch_00216,Premier Learning School,corporate_training
sch_00217,Elite Education School,customer_training
sch_00218,Dynamic Skills School,government_ngos
sch_00219,Agile Training School,b2b_course_sellers
sch_00220,Innovative Talent School,customer_training
sch_00221,Bright Growth School,government_ngos
sch_00222,Apex Academy School,b2b_course_sellers
sch_00223,Nexus Institute School,corporate_training
sch_00224,Lumina Solutions School,b2b_course_sellers
sch_00225,Global Ventures School,corporate_training
sch_00226,Digital Pathways School,b2c_course_sellers
sch_00227,Smart Labs School,b2c_course_sellers
sch_00228,Future Learning School,b2b_course_sellers
sch_00229,Modern Education School,b2b_course_sellers
sch_00230,Advanced Skills School,b2b_course_sellers
sch_00231,Premier Training School,government_ngos
sch_00232,Elite Talent School,government_ngos
sch_00233,Dynamic Growth School,b2c_course_sellers
sch_00234,Agile Academy School,b2b_course_sellers
sch_00235,Innovative Institute School,corporate_training
sch_00236,Bright Solutions School,customer_training
sch_00237,Apex Ventures School,government_ngos
sch_00238,Nexus Pathways School,customer_training
sch_00239,Lumina Labs School,government_ngos
sch_00240,Global Learning School,b2b_course_sellers
sch_00241,Digital Education School,corporate_training
sch_00242,Smart Skills School,customer_training
sch_00243,Future Training School,government_ngos
sch_00244,Modern Talent School,government_ngos
sch_00245,Advanced Growth School,corporate_training
sch_00246,Premier Academy School,government_ngos
sch_00247,Elite Institute School,government_ngos
sch_00248,Dynamic Solutions School,customer_training
sch_00249,Agile Ventures School,b2c_course_sellers
sch_00250,Innovative Pathways School,customer_training
sch_00251,Bright Labs School,customer_training
sch_00252,Apex Learning School,b2b_course_sellers
sch_00253,Nexus Education School,b2c_course_sellers
sch_00254,Lumina Skills School,b2c_course_sellers
sch_00255,Global Training School,b2b_course_sellers
sch_00256,Digital Talent School,government_ngos
sch_00257,Smart Growth School,b2b_course_sellers
sch_00258,Future Academy School,government_ngos
sch_00259,Modern Institute School,corporate_training
sch_00260,Advanced Solutions School,b2b_course_sellers
sch_00261,Premier Ventures School,b2b_course_sellers
sch_00262,Elite Pathways School,b2b_course_sellers
sch_00263,Dynamic Labs School,corporate_training
sch_00264,Agile Learning School,b2b_course_sellers
sch_00265,Innovative Education School,b2c_course_sellers
sch_00266,Bright Skills School,government_ngos
sch_00267,Apex Training School,corporate_training
sch_00268,Nexus Talent School,customer_training
sch_00269,Lumina Growth School,corporate_training
sch_00270,Global Academy School,corporate_training
sch_00271,Digital Institute School,corporate_training
sch_00272,Smart Solutions School,corporate_training
sch_00273,Future Ventures School,b2c_course_sellers
sch_00274,Modern Pathways School,b2c_course_sellers
sch_00275,Advanced Labs School,corporate_training
sch_00276,Premier Learning School,b2b_course_sellers
sch_00277,Elite Education School,corporate_training
sch_00278,Dynamic Skills School,customer_training
sch_00279,Agile Training School,b2c_course_sellers
sch_00280,Innovative Talent School,government_ngos
sch_00281,Bright Growth School,corporate_training
sch_00282,Apex Academy School,government_ngos
sch_00283,Nexus Institute School,corporate_training
sch_00284,Lumina Solutions School,government_ngos
sch_00285,Global Ventures School,government_ngos
sch_00286,Digital Pathways School,b2b_course_sellers
sch_00287,Smart Labs School,b2c_course_sellers
sch_00288,Future Learning School,government_ngos
sch_00289,Modern Education School,government_ngos
sch_00290,Advanced Skills School,government_ngos
sch_00291,Premier Training School,customer_training
sch_00292,Elite Talent School,corporate_training
